Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
d1159c2356fdb062da33fcd262580eb584003941db6d584eca800af8a7bd659f,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.118701,52.208269,On or near BRIDGE STREET,E01032797,Cambridge 007G,Investigation complete; no suspect identified
5252afb6955179753800debca818f8254d9a6880e76f7aeaf525130abd841019,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.269824,52.583845,On or near CRANFORD DRIVE,E01015663,Peterborough 009D,Unable to prosecute suspect
522386a237e8f704c15ffa67c9c87624ec7da448024f055ebe2cced6afdd23d8,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.171676,52.214671,On or near BRENTWOOD CLOSE,E01017948,Cambridge 006F,Unable to prosecute suspect
2c58b193d61f0479fb627692c40b1cfe185416cf58ef6a09dd37604f619ea2f4,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.227394,52.552927,On or near BELLE VUE,E01015669,Peterborough 019B,Investigation complete; no suspect identified
c58dc60fc5bcce30bc7bec231486a8547cdd357a2b72b502d1c735c7445b5de4,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.174925,52.130706,On or near BROADMEADOW,E01018283,South Cambridgeshire 015E,Investigation complete; no suspect identified
c8526fb91205374f77f14efdd92735ca5add5e50dd3eae36e6ea0f67c099d8e3,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.166644,52.664230,On or near BALDING CLOSE,E01018063,Fenland 002A,Unable to prosecute suspect
da871dcb92153458fe27582cc31a826f7bde1d5f91caf2819a85f9685222c96d,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.033929,52.358789,On or near MEADOW LANE,E01018123,Huntingdonshire 007C,Investigation complete; no suspect identified
b42343af78c100f3265556aacf82af67b27ad658389299babc85bd51aa33b76e,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.272983,52.617984,On or near Sports/Recreation Area,E01015680,Peterborough 002B,Unable to prosecute suspect
81303fe485576a8de48e65f843537ede2d90bb61fb7dfb4f3a8dc93ed1993594,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.079766,52.340587,On or near ALBEMARLE ROAD,E01018161,Huntingdonshire 011A,Investigation complete; no suspect identified
360cde47409ab7b57252a75b923daf5e85299999c90527b380b974ea268ba24f,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.255347,52.592686,On or near BOURGES BOULEVARD,E01015632,Peterborough 010C,Unable to prosecute suspect
0bb24523a0ba5e175d8e84c7a128213b24c25d96de3a092901227650a1f3ff11,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,,,No location,,,Unable to prosecute suspect
c127594eeaa75b3c6f1149d70e3a2c7f52cd09dfd300d3941fe3f88211b31912,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.008816,52.274592,On or near ANDERSON ROAD,E01018284,South Cambridgeshire 003C,Unable to prosecute suspect
b8a249c63260affc4c298b862b2954c99acf21e7ec21ffedde7086fe376a774a,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.237379,52.590856,On or near GARTON END ROAD,E01015651,Peterborough 012B,Unable to prosecute suspect
948fca5a691fd7166b034bb8d1fd1ce170510fd6a4809f0d865898ba1631e81d,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.266933,52.535863,On or near OSIER AVENUE,E01033174,Peterborough 022C,Unable to prosecute suspect
3db645610df193ab380c9c2f67bbca260c8f873cd02195bed8009f3f61f56af9,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.259539,52.580781,On or near PRIORY ROAD,E01015665,Peterborough 016C,Investigation complete; no suspect identified
661e68422701268d20a83e380afa90b57a47782cc095fad4bb8d18fc114b0fbc,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.121326,52.204688,On or near Nightclub,E01032797,Cambridge 007G,Unable to prosecute suspect
0ba5132b4173bf16212e5f1d6eee58a01713c15361cae8cd4e35a537de50a313,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.215135,52.556600,On or near FIELDFARE DRIVE,E01015667,Peterborough 019A,Investigation complete; no suspect identified
77d887bef35ca41b2cf142d303ccc7f14be048a9e0628debe3db2856fe03bf63,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.114042,52.451957,On or near FIELD ROAD,E01018159,Huntingdonshire 003D,Unable to prosecute suspect
d6db78f91703d40aa83808ee80d9baa4ebd05653b370c3f06177e7c7f760f42c,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.157065,52.097341,On or near THE FIRS,E01018239,South Cambridgeshire 017B,Local resolution
f4adffea51c04e5a753b1d2840c901b519dec50befb0457183a75bb701cb2483,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.225717,52.386803,On or near STIRLING WAY,E01033428,East Cambridgeshire 004G,Investigation complete; no suspect identified
eb2456df4d179d4fad5ac7aa5538f76c6724d3f83af23d684117a5b052cb41de,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.137010,52.190855,On or near CLIFTON WAY,E01017966,Cambridge 010B,Unable to prosecute suspect
9c4a8afbe2c8ca6a679731d4982c0f44767b5e9066e971af23dad3ec1db5b51e,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.010972,52.269989,On or near Petrol Station,E01018223,South Cambridgeshire 005C,Investigation complete; no suspect identified
2f3b1f00531973bcab009689a2b0d21bdb4328f8bed319e38f3d4535dfa60956,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.462284,52.641622,On or near Park/Open Space,E01015590,Peterborough 004B,Investigation complete; no suspect identified
f495165b8bfacc14794ef86d78f51843c50edbbc3b98c730c9beafb73c290625,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.351000,52.326207,On or near REGAL DRIVE,E01018051,East Cambridgeshire 006E,Unable to prosecute suspect
c1ddbb481fe412cd4d1db49772a4be99d196b650eec4cb8804c8a735c9daaef4,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.010972,52.269989,On or near Petrol Station,E01018223,South Cambridgeshire 005C,Unable to prosecute suspect
71e0a32c6aee49d05cba8b39e4f74867f482c76d6ebcd86fd0366485fc6dced2,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.227394,52.552927,On or near BELLE VUE,E01015669,Peterborough 019B,Investigation complete; no suspect identified
e612a32aafa6ef5c8733ef71e3d5b91d61ae7071b324674a6ffabf6d57733b10,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.250356,52.554896,On or near PROSPERO CLOSE,E01015623,Peterborough 017B,Unable to prosecute suspect
c44dc489e7ee80a8590f5ecf4bc995ec977a82724b601a811335e990f649d353,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.247749,52.588474,On or near Bus/Coach Station,E01015652,Peterborough 012C,Investigation complete; no suspect identified
eb8d453b5b37d06ffd82c756623615260ea835cb3a8d599eeb2e347feca2156c,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,0.008911,52.354722,On or near EAST STREET,E01018124,Huntingdonshire 007D,Investigation complete; no suspect identified
b8a08e8d0cb2f9e446ecdab6f0784aab222c4ea46202739f439357a31e37ce45,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.249810,52.581941,On or near HANKEY STREET,E01015600,Peterborough 014B,Action to be taken by another organisation
b206a2fb97065de0447806886b056f6d4e5838e1fd01f37df42e68d3d8bda31b,2019-12,Cambridgeshire Constabulary,Cambridgeshire Constabulary,-0.114501,52.552774,On or near NEW ROAD,E01018075,Fenland 006D,Investigation complete; no suspect identified
